chrom1	start1	end1	chrom2	start2	end2	sample	svclass	size_bin	length	is_clustered
1	22475563	22475563	14	22451049	22451049	Synthetic_Patient7	translocation	0	24514	False
1	22151344	22151344	14	37127017	37127017	Synthetic_Patient7	translocation	0	14975673	False
11	4297911	4297911	19	47477607	47477607	Synthetic_Patient7	deletion	>10Mb	43179696	False
19	22151344	22151344	14	22451049	22451049	Synthetic_Patient7	deletion	100Kb-1Mb	299705	False
14	22475563	22475563	22	22428907	22428907	Synthetic_Patient7	translocation	0	46656	False
5	108099206	108099206	5	126170054	126170054	Synthetic_Patient7	deletion	>10Mb	18070848	False
19	37117122	37117122	23	45337114	45337114	Synthetic_Patient7	deletion	1Mb-10Mb	8219992	False
2	37117122	37117122	14	22496144	22496144	Synthetic_Patient7	translocation	0	14620978	False
9	22475563	22475563	11	22451049	22451049	Synthetic_Patient7	translocation	0	24514	False
1	142810844	142810844	2	154315283	154315283	Synthetic_Patient7	translocation	0	11504439	False
2	77287566	77287566	8	87826934	87826934	Synthetic_Patient7	translocation	0	10539368	False
19	4297911	4297911	22	22496144	22496144	Synthetic_Patient7	deletion	>10Mb	18198233	False
4	45318548	45318548	11	22451049	22451049	Synthetic_Patient7	deletion	>10Mb	22867499	False
4	37117122	37117122	9	22141860	22141860	Synthetic_Patient7	deletion	>10Mb	14975262	False
1	37117122	37117122	14	22141860	22141860	Synthetic_Patient7	translocation	0	14975262	False
5	77287566	77287566	5	77297118	77297118	Synthetic_Patient7	deletion	1-10Kb	9552	False
