Sample Names	MutationType	CN2	CN13
Synthetic_Patient8	0:homdel:0-100kb	0.6660707471378301	0.33392925286217
Synthetic_Patient8	0:homdel:100kb-1Mb	0.29328667562964544	0.7067133243703545
Synthetic_Patient8	0:homdel:>1Mb	0.2972214872151107	0.7027785127848892
Synthetic_Patient8	1:LOH:0-100kb	0.6650577485829028	0.33494225141709727
Synthetic_Patient8	1:LOH:100kb-1Mb	0.3046374252877993	0.6953625747122008
Synthetic_Patient8	1:LOH:1Mb-10Mb	0.01567129138584122	0.9843287086141587
Synthetic_Patient8	1:LOH:10Mb-40Mb	0.006230341512075493	0.9937696584879245
Synthetic_Patient8	1:LOH:>40Mb	0.001151499154237848	0.998848500845762
Synthetic_Patient8	2:LOH:0-100kb	0.9886985091963151	0.011301490803684961
Synthetic_Patient8	2:LOH:100kb-1Mb	0.5722729774291843	0.4277270225708157
Synthetic_Patient8	2:LOH:1Mb-10Mb	0.6290198448602808	0.3709801551397191
Synthetic_Patient8	2:LOH:10Mb-40Mb	0.8981496454758896	0.10185035452411031
Synthetic_Patient8	2:LOH:>40Mb	0.9993695976371629	0.000630402362837054
Synthetic_Patient8	3-4:LOH:0-100kb	0.9048409320514043	0.09515906794859587
Synthetic_Patient8	3-4:LOH:100kb-1Mb	0.7716512856020112	0.2283487143979887
Synthetic_Patient8	3-4:LOH:1Mb-10Mb	0.5939179762520225	0.40608202374797747
Synthetic_Patient8	3-4:LOH:10Mb-40Mb	0.7367831789618653	0.2632168210381347
Synthetic_Patient8	3-4:LOH:>40Mb	0.9013797580554938	0.09862024194450626
Synthetic_Patient8	5-8:LOH:0-100kb	0.5344180846863992	0.4655819153136008
Synthetic_Patient8	5-8:LOH:100kb-1Mb	0.8468170366176627	0.15318296338233733
Synthetic_Patient8	5-8:LOH:1Mb-10Mb	0.595601513930562	0.40439848606943807
Synthetic_Patient8	5-8:LOH:10Mb-40Mb	0.8762408188466481	0.12375918115335187
Synthetic_Patient8	5-8:LOH:>40Mb	0.9253442243712285	0.07465577562877145
Synthetic_Patient8	9+:LOH:0-100kb	0.9589820922266917	0.04101790777330831
Synthetic_Patient8	9+:LOH:100kb-1Mb	0.2796899431035305	0.7203100568964695
Synthetic_Patient8	9+:LOH:1Mb-10Mb	0.5032789134478555	0.4967210865521445
Synthetic_Patient8	9+:LOH:10Mb-40Mb	0.9991315687569758	0.0008684312430240768
Synthetic_Patient8	9+:LOH:>40Mb	0.9123979298594603	0.08760207014053965
Synthetic_Patient8	2:het:0-100kb	0.4702294614558967	0.5297705385441033
Synthetic_Patient8	2:het:100kb-1Mb	0.28961189816425353	0.7103881018357465
Synthetic_Patient8	2:het:1Mb-10Mb	0.017981377172466288	0.9820186228275336
Synthetic_Patient8	2:het:10Mb-40Mb	0.0116511202737826	0.9883488797262174
Synthetic_Patient8	2:het:>40Mb	4.655955764971377e-05	0.9999534404423502
Synthetic_Patient8	3-4:het:0-100kb	0.9029397972151773	0.09706020278482277
Synthetic_Patient8	3-4:het:100kb-1Mb	0.6104451953477336	0.38955480465226644
Synthetic_Patient8	3-4:het:1Mb-10Mb	0.8481460650847684	0.15185393491523158
Synthetic_Patient8	3-4:het:10Mb-40Mb	0.9549508077114713	0.04504919228852876
Synthetic_Patient8	3-4:het:>40Mb	0.9878696243919549	0.012130375608045064
Synthetic_Patient8	5-8:het:0-100kb	0.77783374424903	0.22216625575097013
Synthetic_Patient8	5-8:het:100kb-1Mb	0.9626169407793048	0.03738305922069526
Synthetic_Patient8	5-8:het:1Mb-10Mb	0.9999850019430243	1.4998056975860058e-05
Synthetic_Patient8	5-8:het:10Mb-40Mb	0.9960564329418214	0.003943567058178607
Synthetic_Patient8	5-8:het:>40Mb	0.999228662224108	0.0007713377758920844
Synthetic_Patient8	9+:het:0-100kb	0.6891915657968914	0.3108084342031085
Synthetic_Patient8	9+:het:100kb-1Mb	0.9283316433796781	0.07166835662032185
Synthetic_Patient8	9+:het:1Mb-10Mb	0.7359958642564861	0.26400413574351383
Synthetic_Patient8	9+:het:10Mb-40Mb	0.9888851695516864	0.011114830448313708
Synthetic_Patient8	9+:het:>40Mb	0.9772664870323575	0.022733512967642557
