chrom1	start1	end1	chrom2	start2	end2	sample	svclass	size_bin	length	is_clustered
11	37117122	37117122	22	37127017	37127017	Synthetic_Patient3	translocation	0	9895	False
11	47215854	47215854	11	22451049	22451049	Synthetic_Patient3	deletion	>10Mb	24764805	False
7	154313845	154313845	3	103489434	103489434	Synthetic_Patient3	deletion	>10Mb	50824411	False
14	47174526	47174526	14	22451049	22451049	Synthetic_Patient3	translocation	0	24723477	False
1	47461985	47461985	9	37127017	37127017	Synthetic_Patient3	translocation	0	10334968	False
5	154313845	154313845	5	126170054	126170054	Synthetic_Patient3	deletion	>10Mb	28143791	False
4	103475291	103475291	5	87826934	87826934	Synthetic_Patient3	deletion	>10Mb	15648357	False
2	103475291	103475291	5	103489434	103489434	Synthetic_Patient3	deletion	10-100Kb	14143	False
14	22475563	22475563	14	47477607	47477607	Synthetic_Patient3	tandem-duplication	>10Mb	25002044	False
4	37117122	37117122	14	22428907	22428907	Synthetic_Patient3	deletion	>10Mb	14688215	False
3	77287566	77287566	1	108189872	108189872	Synthetic_Patient3	deletion	>10Mb	30902306	False
23	22475563	22475563	9	22403246	22403246	Synthetic_Patient3	deletion	10-100Kb	72317	False
2	45318548	45318548	9	22428907	22428907	Synthetic_Patient3	deletion	>10Mb	22889641	False
7	83057505	83057505	5	154315283	154315283	Synthetic_Patient3	deletion	>10Mb	71257778	False
3	142810844	142810844	8	103489434	103489434	Synthetic_Patient3	translocation	0	39321410	False
22	47174526	47174526	23	37127017	37127017	Synthetic_Patient3	deletion	>10Mb	10047509	False
