Sample Names	MutationType	CN1	CN2	CN13
Synthetic_Patient5	0:homdel:0-100kb	0.10972578578338293	0.4445405254802353	0.4457336887363818
Synthetic_Patient5	0:homdel:100kb-1Mb	0.02721337245890371	0.16716653700102674	0.8056200905400694
Synthetic_Patient5	0:homdel:>1Mb	0.0329821828784812	0.168793810592721	0.7982240065287978
Synthetic_Patient5	1:LOH:0-100kb	0.1334822333508235	0.43169234802706735	0.43482541862210916
Synthetic_Patient5	1:LOH:100kb-1Mb	0.09683193276466559	0.16228905763797277	0.7408790095973615
Synthetic_Patient5	1:LOH:1Mb-10Mb	0.043507343640122265	0.007553927462301083	0.9489387288975766
Synthetic_Patient5	1:LOH:10Mb-40Mb	0.08599411750524363	0.002856181890292702	0.9111497006044638
Synthetic_Patient5	1:LOH:>40Mb	0.09502505085130908	0.0005213391050448437	0.904453610043646
Synthetic_Patient5	2:LOH:0-100kb	0.12555462958943425	0.8549011763163472	0.01954419409421855
Synthetic_Patient5	2:LOH:100kb-1Mb	0.026541311542855342	0.3901895062857139	0.5832691821714308
Synthetic_Patient5	2:LOH:1Mb-10Mb	0.018331199275928835	0.4503997774298227	0.5312690232942484
Synthetic_Patient5	2:LOH:10Mb-40Mb	0.020293286386184103	0.7985868805956295	0.18111983301818635
Synthetic_Patient5	2:LOH:>40Mb	0.0527765516713277	0.9460299369211616	0.0011935114075107465
Synthetic_Patient5	3-4:LOH:0-100kb	0.11433744272085179	0.7317509914907719	0.15391156578837642
Synthetic_Patient5	3-4:LOH:100kb-1Mb	0.022796502876362732	0.6138813237735992	0.36332217335003814
Synthetic_Patient5	3-4:LOH:1Mb-10Mb	0.015535492464553796	0.4158300569470865	0.5686344505883596
Synthetic_Patient5	3-4:LOH:10Mb-40Mb	0.0017223030548550605	0.582254924722673	0.41602277222247186
Synthetic_Patient5	3-4:LOH:>40Mb	0.09643649295056066	0.7413424805740443	0.16222102647539496
Synthetic_Patient5	5-8:LOH:0-100kb	0.02279880258553392	0.3563321755125156	0.6208690219019505
Synthetic_Patient5	5-8:LOH:100kb-1Mb	0.013834478665024044	0.7241710907192088	0.2619944306157671
Synthetic_Patient5	5-8:LOH:1Mb-10Mb	0.005995442023653204	0.42155458401378487	0.5724499739625619
Synthetic_Patient5	5-8:LOH:10Mb-40Mb	0.008604450848541686	0.7730315020855437	0.2183640470659146
Synthetic_Patient5	5-8:LOH:>40Mb	0.008640990529944204	0.8536206239200325	0.13773838555002346
Synthetic_Patient5	9+:LOH:0-100kb	0.06804342957775446	0.8585151658722047	0.07344140455004096
Synthetic_Patient5	9+:LOH:100kb-1Mb	0.029901492216830382	0.15771970602565824	0.8123788017575113
Synthetic_Patient5	9+:LOH:1Mb-10Mb	0.024444564778051004	0.32803471792975714	0.6475207172921918
Synthetic_Patient5	9+:LOH:10Mb-40Mb	0.005666155102509755	0.9926083222414649	0.001725522656025436
Synthetic_Patient5	9+:LOH:>40Mb	0.0009985226567865984	0.8380701957809884	0.16093128156222486
Synthetic_Patient5	2:het:0-100kb	0.011014577807403524	0.3039998945906945	0.684985527601902
Synthetic_Patient5	2:het:100kb-1Mb	0.07923767518162124	0.15590831365265784	0.7648540111657209
Synthetic_Patient5	2:het:1Mb-10Mb	0.07761528361054124	0.008368108802053586	0.9140166075874052
Synthetic_Patient5	2:het:10Mb-40Mb	0.33485640993521804	0.0038975393333625643	0.6612460507314193
Synthetic_Patient5	2:het:>40Mb	0.7411521055373439	6.02606201776149e-06	0.25884186840063833
Synthetic_Patient5	3-4:het:0-100kb	0.16102131742540257	0.6905247675458233	0.14845391502877409
Synthetic_Patient5	3-4:het:100kb-1Mb	0.03117984966371513	0.42561229247582916	0.5432078578604558
Synthetic_Patient5	3-4:het:1Mb-10Mb	0.006712176072292868	0.7313888799823354	0.2618989439453717
Synthetic_Patient5	3-4:het:10Mb-40Mb	0.006219738880973932	0.9081020013661876	0.08567825975283852
Synthetic_Patient5	3-4:het:>40Mb	0.004118107076461215	0.9720106176144541	0.02387127530908463
Synthetic_Patient5	5-8:het:0-100kb	0.07793887811840172	0.586835261965999	0.3352258599155993
Synthetic_Patient5	5-8:het:100kb-1Mb	0.002848886973909833	0.9252845854615482	0.07186652756454202
Synthetic_Patient5	5-8:het:1Mb-10Mb	0.0032357429092958146	0.9967343584848867	2.9898605817700856e-05
Synthetic_Patient5	5-8:het:10Mb-40Mb	0.00022972194750066135	0.9919159299324611	0.007854348120038157
Synthetic_Patient5	5-8:het:>40Mb	0.003642451695555731	0.9948216765497427	0.0015358717547015533
Synthetic_Patient5	9+:het:0-100kb	0.01688517131431443	0.5168981450382123	0.46621668364747326
Synthetic_Patient5	9+:het:100kb-1Mb	0.025499396950165475	0.8441601739149321	0.1303404291349025
Synthetic_Patient5	9+:het:1Mb-10Mb	0.008787330429945988	0.5771566759732687	0.4140559935967853
Synthetic_Patient5	9+:het:10Mb-40Mb	0.0002742974752966748	0.9777464349998534	0.021979267524849928
Synthetic_Patient5	9+:het:>40Mb	0.0016493819360529033	0.9539675672804557	0.04438305078349137
