sample	chromosome	start	end	segVal
Synthetic_Patient1	1	34114989	54550171	3
Synthetic_Patient1	1	36161409	73804209	4
Synthetic_Patient1	13	84667840	89932355	1
Synthetic_Patient1	13	92676343	159334984	3
Synthetic_Patient1	13	109619453	159334984	3
Synthetic_Patient1	17	109619453	144137812	1
Synthetic_Patient1	21	92676343	112263535	3
Synthetic_Patient1	3	930198	28377312	2
Synthetic_Patient1	4	930198	40956367	2
Synthetic_Patient1	5	89934475	95213281	1
Synthetic_Patient1	6	33998775	42051978	1
Synthetic_Patient1	6	81008575	89932355	1
Synthetic_Patient1	7	70821512	180991554	1
Synthetic_Patient1	7	88027350	92014202	1
Synthetic_Patient1	7	89934475	154427175	2
Synthetic_Patient1	7	92017586	109610616	1
Synthetic_Patient1	X	2579724	54550171	3
Synthetic_Patient1	X	92676343	112263535	3
