chrom1	start1	end1	chrom2	start2	end2	sample	svclass	size_bin	length	is_clustered
5	154313845	154313845	1	83094524	83094524	Synthetic_Patient5	deletion	>10Mb	71219321	False
1	22151344	22151344	14	45337114	45337114	Synthetic_Patient5	deletion	>10Mb	23185770	False
1	45318548	45318548	11	37127017	37127017	Synthetic_Patient5	translocation	0	8191531	False
9	37117122	37117122	14	37127017	37127017	Synthetic_Patient5	translocation	0	9895	False
5	37117122	37117122	9	22496144	22496144	Synthetic_Patient5	tandem-duplication	>10Mb	14620978	False
3	47461985	47461985	14	22451049	22451049	Synthetic_Patient5	deletion	>10Mb	25010936	False
5	4297911	4297911	9	22428907	22428907	Synthetic_Patient5	deletion	>10Mb	18130996	False
11	47461985	47461985	14	22496144	22496144	Synthetic_Patient5	deletion	>10Mb	24965841	False
1	103475291	103475291	5	87826934	87826934	Synthetic_Patient5	deletion	>10Mb	15648357	False
5	103475291	103475291	3	103489434	103489434	Synthetic_Patient5	deletion	10-100Kb	14143	False
5	22475563	22475563	11	37127017	37127017	Synthetic_Patient5	deletion	>10Mb	14651454	False
23	83057505	83057505	4	103489434	103489434	Synthetic_Patient5	deletion	>10Mb	20431929	False
5	103475291	103475291	5	103489434	103489434	Synthetic_Patient5	deletion	10-100Kb	14143	False
22	4297911	4297911	22	22496144	22496144	Synthetic_Patient5	deletion	>10Mb	18198233	False
5	77287566	77287566	5	103489434	103489434	Synthetic_Patient5	deletion	>10Mb	26201868	False
5	103475291	103475291	3	103489434	103489434	Synthetic_Patient5	deletion	10-100Kb	14143	False
7	91783107	91783107	4	87826934	87826934	Synthetic_Patient5	deletion	1Mb-10Mb	3956173	False
14	47215854	47215854	14	22496144	22496144	Synthetic_Patient5	translocation	0	24719710	False
1	77287566	77287566	1	108189872	108189872	Synthetic_Patient5	tandem-duplication	>10Mb	30902306	False
22	163311366	163311366	2	94280827	94280827	Synthetic_Patient5	deletion	>10Mb	69030539	False
13	37117122	37117122	19	22141860	22141860	Synthetic_Patient5	deletion	>10Mb	14975262	False
