chrom1	start1	end1	chrom2	start2	end2	sample	svclass	size_bin	length	is_clustered
3	163311366	163311366	8	108189872	108189872	Synthetic_Patient1	translocation	0	55121494	False
5	163311366	163311366	5	108189872	108189872	Synthetic_Patient1	deletion	>10Mb	55121494	False
1	142810844	142810844	4	94280827	94280827	Synthetic_Patient1	deletion	>10Mb	48530017	False
1	47461985	47461985	11	22496144	22496144	Synthetic_Patient1	tandem-duplication	>10Mb	24965841	False
5	37117122	37117122	11	22141860	22141860	Synthetic_Patient1	deletion	>10Mb	14975262	False
19	22475563	22475563	14	37127017	37127017	Synthetic_Patient1	translocation	0	14651454	False
7	103475291	103475291	5	103489434	103489434	Synthetic_Patient1	deletion	10-100Kb	14143	False
3	20391788	20391788	14	47477607	47477607	Synthetic_Patient1	translocation	0	27085819	False
11	22475563	22475563	23	22141860	22141860	Synthetic_Patient1	tandem-duplication	100Kb-1Mb	333703	False
5	108099206	108099206	3	94280827	94280827	Synthetic_Patient1	deletion	>10Mb	13818379	False
23	47461985	47461985	22	22428907	22428907	Synthetic_Patient1	tandem-duplication	>10Mb	25033078	False
1	142810844	142810844	5	126170054	126170054	Synthetic_Patient1	translocation	0	16640790	False
5	126155382	126155382	1	94280827	94280827	Synthetic_Patient1	deletion	>10Mb	31874555	False
5	77287566	77287566	3	154315283	154315283	Synthetic_Patient1	deletion	>10Mb	77027717	False
14	22475563	22475563	13	37127017	37127017	Synthetic_Patient1	tandem-duplication	>10Mb	14651454	False
3	163311366	163311366	5	87826934	87826934	Synthetic_Patient1	deletion	>10Mb	75484432	False
1	126155382	126155382	5	127741498	127741498	Synthetic_Patient1	translocation	0	1586116	False
14	20391788	20391788	13	22496144	22496144	Synthetic_Patient1	deletion	1Mb-10Mb	2104356	False
