Sample Names	MutationType	CN1	CN2	CN13	CN23
Synthetic_Patient10	0:homdel:0-100kb	0.0026975797393456753	0.010088226948594183	0.0089913814434182	0.9782228118686419
Synthetic_Patient10	0:homdel:100kb-1Mb	0.020890328999225802	0.1184541153028767	0.507432843423475	0.3532227122744226
Synthetic_Patient10	0:homdel:>1Mb	0.03392611448414609	0.1602688568640714	0.6736974200053139	0.13210760864646867
Synthetic_Patient10	1:LOH:0-100kb	0.007753329960785788	0.02314605851473442	0.020723595051209794	0.9483770164732699
Synthetic_Patient10	1:LOH:100kb-1Mb	0.03914782069854937	0.06056421915013528	0.24576591561889657	0.6545220445324189
Synthetic_Patient10	1:LOH:1Mb-10Mb	0.04183005850194148	0.0067040401684368015	0.7485993522546924	0.20286654907492935
Synthetic_Patient10	1:LOH:10Mb-40Mb	0.091717912968807	0.0028119602342403524	0.7973711678198754	0.10809895897707718
Synthetic_Patient10	1:LOH:>40Mb	0.11240132937474993	0.0005692349181329319	0.8778190568373077	0.009210378869809447
Synthetic_Patient10	2:LOH:0-100kb	0.13489739200540501	0.8478609448054436	0.017229551026742326	1.2112162408957698e-05
Synthetic_Patient10	2:LOH:100kb-1Mb	0.030479577883648152	0.41361858771684373	0.5495927184146853	0.006309115984822829
Synthetic_Patient10	2:LOH:1Mb-10Mb	0.020603489002620514	0.46728942471875323	0.48994773819772575	0.02215934808090049
Synthetic_Patient10	2:LOH:10Mb-40Mb	0.020901799092667376	0.7592614493407649	0.1530673858071538	0.0667693657594139
Synthetic_Patient10	2:LOH:>40Mb	0.05693175900650657	0.942011847939018	0.0010563930544754154	0.0
Synthetic_Patient10	3-4:LOH:0-100kb	0.10619121375550186	0.6273376078392031	0.11728885265708447	0.1491823257482106
Synthetic_Patient10	3-4:LOH:100kb-1Mb	0.02486872143883263	0.6181694576397352	0.32520896090059825	0.03175286002083391
Synthetic_Patient10	3-4:LOH:1Mb-10Mb	0.017749576325924533	0.4385475992861226	0.5330666410701858	0.010636183317767077
Synthetic_Patient10	3-4:LOH:10Mb-40Mb	0.0018839846100303199	0.5879208240918797	0.37339650948330444	0.03679868181478554
Synthetic_Patient10	3-4:LOH:>40Mb	0.10375047306628983	0.7362163498046655	0.14319939851198135	0.016833778617063387
Synthetic_Patient10	5-8:LOH:0-100kb	0.02647403288028793	0.3819451493801853	0.5915526831104028	2.8134629123918043e-05
Synthetic_Patient10	5-8:LOH:100kb-1Mb	0.015413633476909792	0.744768512209312	0.23950779931244334	0.0003100550013349321
Synthetic_Patient10	5-8:LOH:1Mb-10Mb	0.006923122826413882	0.4493373699530079	0.5423800918145167	0.0013594154060615467
Synthetic_Patient10	5-8:LOH:10Mb-40Mb	0.009545919960189907	0.7916436210307436	0.19877471367187016	3.574533719629788e-05
Synthetic_Patient10	5-8:LOH:>40Mb	0.009486368657128036	0.8650461189361279	0.12407287006248739	0.0013946423442566026
Synthetic_Patient10	9+:LOH:0-100kb	0.0738824992845812	0.8604809268519421	0.06543072439347464	0.00020584947000194272
Synthetic_Patient10	9+:LOH:100kb-1Mb	0.03524438860054914	0.17160145727815115	0.7856716323255322	0.0074825217957675905
