sample	chromosome	start	end	segVal
Synthetic_Patient9	1	2856466	23881465	2
Synthetic_Patient9	1	54563285	62502633	1
Synthetic_Patient9	13	14568	29126411	1
Synthetic_Patient9	13	2579724	73804209	1
Synthetic_Patient9	13	13249996	42051978	1
Synthetic_Patient9	13	84667840	89932355	3
Synthetic_Patient9	13	112266967	144682401	1
Synthetic_Patient9	21	112266967	154427175	1
Synthetic_Patient9	3	930198	73804209	2
Synthetic_Patient9	3	36161409	40956367	1
Synthetic_Patient9	3	45227209	54550171	2
Synthetic_Patient9	4	144689308	159334984	2
Synthetic_Patient9	5	2856466	32307917	1
Synthetic_Patient9	5	70821512	92674023	1
Synthetic_Patient9	5	95216851	144682401	3
Synthetic_Patient9	5	144689308	170739897	3
Synthetic_Patient9	6	95216851	112263535	1
Synthetic_Patient9	7	89934475	113054665	1
Synthetic_Patient9	X	2579724	45223687	2
Synthetic_Patient9	X	60445159	92014202	2
Synthetic_Patient9	X	84667840	92674023	1
