chrom1	start1	end1	chrom2	start2	end2	sample	svclass	size_bin	length	is_clustered
5	154313845	154313845	1	154315283	154315283	Synthetic_Patient6	deletion	1-10Kb	1438	False
14	22475563	22475563	14	22451049	22451049	Synthetic_Patient6	tandem-duplication	10-100Kb	24514	False
1	126155382	126155382	5	103489434	103489434	Synthetic_Patient6	deletion	>10Mb	22665948	False
3	142810844	142810844	5	103489434	103489434	Synthetic_Patient6	translocation	0	39321410	False
4	154313845	154313845	1	83094524	83094524	Synthetic_Patient6	deletion	>10Mb	71219321	False
13	20391788	20391788	14	22428907	22428907	Synthetic_Patient6	translocation	0	2037119	False
4	91783107	91783107	1	103489434	103489434	Synthetic_Patient6	deletion	>10Mb	11706327	False
23	37117122	37117122	14	45337114	45337114	Synthetic_Patient6	translocation	0	8219992	False
2	103475291	103475291	2	77297118	77297118	Synthetic_Patient6	deletion	>10Mb	26178173	False
22	45318548	45318548	22	22451049	22451049	Synthetic_Patient6	deletion	>10Mb	22867499	False
19	22475563	22475563	22	22451049	22451049	Synthetic_Patient6	deletion	10-100Kb	24514	False
3	37117122	37117122	14	22141860	22141860	Synthetic_Patient6	deletion	>10Mb	14975262	False
7	103475291	103475291	3	83094524	83094524	Synthetic_Patient6	deletion	>10Mb	20380767	False
5	47461985	47461985	11	37127017	37127017	Synthetic_Patient6	deletion	>10Mb	10334968	False
5	142810844	142810844	5	126170054	126170054	Synthetic_Patient6	deletion	>10Mb	16640790	False
22	37117122	37117122	23	22451049	22451049	Synthetic_Patient6	translocation	0	14666073	False
13	22151344	22151344	13	22496144	22496144	Synthetic_Patient6	deletion	100Kb-1Mb	344800	False
3	47215854	47215854	14	37127017	37127017	Synthetic_Patient6	translocation	0	10088837	False
5	87822607	87822607	14	83094524	83094524	Synthetic_Patient6	tandem-duplication	1Mb-10Mb	4728083	False
5	45318548	45318548	9	22496144	22496144	Synthetic_Patient6	deletion	>10Mb	22822404	False
