sample	chromosome	start	end	segVal
Synthetic_Patient5	1	2856466	36154423	3
Synthetic_Patient5	1	2856466	54550171	2
Synthetic_Patient5	1	33998775	40956367	2
Synthetic_Patient5	1	40959415	45223687	2
Synthetic_Patient5	1	42052529	73804209	1
Synthetic_Patient5	1	54563285	180991554	4
Synthetic_Patient5	12	14568	29126411	1
Synthetic_Patient5	13	14568	73804209	3
Synthetic_Patient5	13	2579724	73804209	1
Synthetic_Patient5	21	14568	45223687	1
Synthetic_Patient5	4	144146157	154427175	2
Synthetic_Patient5	5	54563285	92014202	2
Synthetic_Patient5	5	89934475	154427175	3
Synthetic_Patient5	5	95216851	109610616	3
Synthetic_Patient5	5	154430085	159334984	3
Synthetic_Patient5	6	92017586	112263535	4
Synthetic_Patient5	7	88027350	89932355	3
Synthetic_Patient5	7	96024675	144682401	1
Synthetic_Patient5	7	96024675	113054665	3
Synthetic_Patient5	7	144146157	180930584	3
Synthetic_Patient5	X	13249996	28377312	2
Synthetic_Patient5	X	60445159	180991554	2
