sample	chromosome	start	end	segVal
Synthetic_Patient8	1	930198	54550171	1
Synthetic_Patient8	1	21185509	42051978	2
Synthetic_Patient8	1	54563285	89932355	1
Synthetic_Patient8	13	13249996	54550171	2
Synthetic_Patient8	13	84667840	180991554	4
Synthetic_Patient8	13	84667840	89932355	4
Synthetic_Patient8	13	92676343	113054665	4
Synthetic_Patient8	17	2579724	32307917	1
Synthetic_Patient8	3	39493048	42051978	1
Synthetic_Patient8	3	45227209	49590440	1
Synthetic_Patient8	4	92017586	144137812	1
Synthetic_Patient8	5	40959415	54550171	3
Synthetic_Patient8	5	95216851	154427175	3
Synthetic_Patient8	7	36161409	39487341	2
Synthetic_Patient8	7	54333990	180991554	3
Synthetic_Patient8	7	92017586	112263535	1
Synthetic_Patient8	7	96024675	109610616	3
