sample	chromosome	start	end	segVal
Synthetic_Patient2	1	930198	33994569	1
Synthetic_Patient2	1	36161409	73804209	2
Synthetic_Patient2	13	14568	33994569	1
Synthetic_Patient2	13	13249996	42051978	2
Synthetic_Patient2	13	92676343	95213281	1
Synthetic_Patient2	13	92676343	180930584	3
Synthetic_Patient2	17	92676343	154427175	1
Synthetic_Patient2	21	14568	29126411	1
Synthetic_Patient2	21	109619453	144682401	1
Synthetic_Patient2	5	70821512	80999819	3
Synthetic_Patient2	5	70821512	89932355	3
Synthetic_Patient2	5	88027350	89932355	1
Synthetic_Patient2	5	92017586	95213281	3
Synthetic_Patient2	5	96024675	113054665	3
Synthetic_Patient2	7	92017586	113054665	1
Synthetic_Patient2	7	96024675	180930584	3
Synthetic_Patient2	X	92676343	113054665	3
